Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Naa Saami Ranga,2024,14-Jan-24,"Action, Adventure, Drama",Vijay Binni,"Nagarjuna Akkineni, Allari Naresh, Raj Tarun",The lives of two brothers from a humble background in a village get wrecked by evil-minded people from an affluent family. Can the protagonist overcome the complicated scenarios and lead a happy life with his loved ones?,Telugu,India,4.4
Kotha Rangula Prapancham,2024,20-Jan-24,,Prudhviraj,"Prudhviraj, Krishnateja Eppala, Krishna Kranthi","A girl named Sreelu, who wants to be a heroine in a movie, is possessed by a ghost during the shooting ,The log line is, why did the ghost take over, will Sreelu change her career to heroine or not?",Telugu,India,
Before Marriage,2024,26-Jan-24,Romance,Sreedhar Reddy Atakula,"Naveena Reddy, Naga Mahesh, Lakshman","An unmarried young woman is distressed to find she is with child. She faces a major decision, recognizing that bearing a baby out of wedlock clashes with prevailing proprieties.",Tamil,India,
Mudo Kannu,2024,26-Jan-24,"Crime, Thriller","K Brahmaiah Acharya, Maviti Sai Surendra Babu, Krishna Mohan","Shashidhar Kosuri, Sai Kumar, Madhavilatha",,Telugu,India,8.5
Premalo,2024,26-Jan-24,"Action, Drama, Romance",Chandu Koduri,"Chandu Koduri, Charishma Shreekar, Shivaji Raja","Ravi and Prasanti , Both of them are in deep love. Due to some unexpected events, the video clip of Ravi raping Prasanti reaches Prasanti's Father. Why did Ravi have to do this? Does Ravi really love prasanti?",Telugu,India,8.7
RAM (Rapid Action Mission),2024,26-Jan-24,,Mihiraam Vynateyaa,"Surya Ayyalasomyajula, Dhanya Balakrishna, Mahaboob Basha",,Telugu,India,8.4
Ambajipeta Marriage Band,2024,02-Feb-24,,Dushyanth Katikineni,"Jagadeesh Prathap Bandari, Suhas, Shivani","In Ambajipeta village early 2000s, happy twins Mallikarjuna and Padmavati's lives change on 25th birthday due to unexpected events.",Telugu,India,
Bootcut Balaraju,2024,02-Feb-24,,Srinivas Koneti,"Sunil, Indraja, Darbha Appaji Ambarisha",,Telugu,India,
Chiclets,2024,02-Feb-24,,Muthu M,"Surekha Vani, Manjeera, Sriman",Follows the thought processes between the kids and their parents. Their thoughts about love and lust and how their parents try to gel up with them.,"Telugu, Tamil",,
Game On,2024,02-Feb-24,"Action, Drama, Romance",Dayanandh Gaddam,"Aditya, Aravind, Konkimalla Ashritha",A loser enters into a real time game to win which leads him to explore challenges and brings out the hidden secrets from his past.,Telugu,India,5.5
Happy Ending,2024,02-Feb-24,Drama,Kowshik Bheemidi,"Ajay Ghosh, Siddharth Gollapudi, Jhansi","A 14 year old boy gets cursed by a Godman because of a misunderstanding. When he grows up, his life changes again when he meets a girl.",Telugu,India,
I hate you,2024,02-Feb-24,"Romance, Thriller",Anji Ram,"Karthik Raju, Mokksha, Sherry Agarwal",,Telugu,India,
Mechanic Rocky,2024,31-Oct-24,,Ravi Teja Mullapudi,"Sunil, Meenaakshi Chaudhary, V.K. Naresh",,Telugu,India,
Yatra 2,2024,08-Feb-24,"Biography, Drama, History",Mahi v Raghav,"Mammootty, Jiiva, Rajiv Kumar Aneja","The life of the former Chief Minister of Andhra Pradesh, the late YS Rajasekhara Reddy.",Telugu,India,6.5
Eagle,2024,09-Feb-24,"Action, Thriller",Karthik Gattamneni,"Ravi Teja, Anupama Parameswaran, Navdeep",A journalist uncovers the story of a ruthless assassin when she investigates a government cover up.,Telugu,India,6.3
